text,label
All final year exams in AP to be conducted on WhatsApp,FAKE
Allu Arjun promotes smart classrooms in Telangana,REAL
Amazon Prime opens dubbing studio in Hyderabad,REAL
Andhra college installs vending machine for question papers,FAKE
Andhra Pradesh bans homework for all schools,FAKE
Andhra Pradesh Cricket League final to be broadcast on Hotstar,REAL
Andhra students win national robotics competition,REAL
Andhra University starts 6-month AI diploma course,REAL
AP announces ₹1 lakh reward for every full-marks student,FAKE
AP announces new policies to promote green startups,REAL
AP announces scholarship for gaming and animation courses,REAL
AP CM inaugurates new startup hub in Vijayawada,REAL
AP CM promises gold biscuit for every LIMAT student,FAKE
AP colleges to get teleportation labs for AI learning,FAKE
AP colleges to host inter-university meme competition,REAL
AP education department clarifies no holiday declared for tomorrow,REAL
AP government rolls out AI chatbot for citizen services,REAL
AP Intermediate exams timetable released officially on Board of Intermediate Education website,REAL
AP launches “Dance & Debate” grading in engineering syllabus,FAKE
AP Police launches AI-driven crime tracking system,REAL
AP schools adopt AI-based attendance monitoring system,REAL
AP to allow reels as a substitute for assignments in B.Tech,FAKE
AP university offers short course on drone cinematography,REAL
Bahubali statue unveiled at Film City to attract tourists,REAL
CM announces weekly movie break in all engineering colleges,FAKE
CM declares all Wednesdays as “Pani Puri Day” in hostels,FAKE
CM flags off “Influencer Awareness Bus Yatra” in AP colleges,REAL
CM of TS caught attending coding class secretly,FAKE
College canteens to accept meme-based discount codes,FAKE
Colleges in TS to serve pizza for lunch twice a week,FAKE
CSK to host open training session for fans in Vizag,FAKE
District collector announces local holiday for flood affected mandals only,REAL
Drone-delivered answer sheets for TS students in rural areas,FAKE
EAMCET 2025 to include PUBG and Reels as skill sections,FAKE
Engineering exams postponed due to secret government order leaked on social media,FAKE
Every AP graduate to receive an iPhone and scooter,FAKE
Fake message circulating that semester exams are cancelled for all private colleges,FAKE
Free iPads and AirPods to every AP student with 9+ CGPA,FAKE
Free laptops will be given to all B.Tech students in Telangana without any registration,FAKE
Government declares tomorrow as holiday for all engineering colleges due to heavy rains in Andhra Pradesh,FAKE
Govt issues order: students with 100% attendance get BMW,FAKE
Govt of Telangana to provide tabs to Class 10 students,REAL
Hyderabad colleges to allow reels instead of lab reports,FAKE
Hyderabad colleges to replace PT with ‘Yoga + Gaming’,FAKE
Hyderabad gets first public 5G lab for students,REAL
Hyderabad gets smart bus stops with solar charging,REAL
Hyderabad influencers to be paid in biryani tokens,FAKE
Hyderabad mall installs real-time AR mirrors for brands,REAL
Hyderabad Metro expands to 4 new routes,REAL
Hyderabad Metro to offer free Netflix on board,FAKE
Hyderabad to host India’s first “Reelathon” event,REAL
Hyderabad tuition centers to issue AI-generated certificates,FAKE
Hyderabad zoo signs panda exchange deal with China,FAKE
Hyderabad-based AI firm wins global startup challenge,REAL
Hyderabad's T-Hub signs pact with Google Cloud India,REAL
IMD issues yellow alert for heavy rainfall in coastal Andhra districts,REAL
Instagram to open creator studio in Hyderabad,REAL
Intermediate exam fees waived for government students in AP,REAL
IPL 2025 opening match to be held in Hyderabad,REAL
IPL to be shot like a reality show with player confession cams,FAKE
Is tomorrow holiday for colleges? viral message spreads on Instagram,FAKE
JNTU releases official notification regarding revaluation process and fee details,REAL
Junior lecturers to be replaced by ChatGPT-8 Beta,FAKE
Junior NTR to mentor film students in AP film school,REAL
KTR launches Creator Space Lab in Gachibowli,REAL
KTR to feature in Instagram Reels masterclass,FAKE
LIMAT signs MoU with AI research center in IIT-Hyderabad,REAL
LIMAT students spotted using AI to do yoga assignments,FAKE
LIMAT to be declared as National Institute of Awesomeness,FAKE
Metro to launch a singing contest inside coaches,FAKE
Nagarjuna to host news fact-checking show on Doordarshan,FAKE
